,Question,Answer
0,h,i'm fine. how about yourself?
1,i'm pretty good. thanks for asking.,no problem. so how have you been?
2,i've been great. what about you?,i've been good. i'm in school right now.
3,what school do you go to?,i go to pcc.
4,do you like it there?,it's okay. it's a really big campus.
5,good luck with school.,thank you very much.
6,i'm doing well. how about you?,"never better, thanks."
7,so how have you been lately?,i've actually been pretty good. you?
8,i'm actually in school right now.,which school do you attend?
9,i'm attending pcc right now.,are you enjoying it there?
10,it's not bad. there are a lot of people there.,good luck with that.
11,thanks.,i'm doing great. what about you?
12,"i'm absolutely lovely, thank you.",everything's been good with you?
13,i haven't been better. how about yourself?,i started school recently.
14,where are you going to school?,i'm going to pcc.
15,how do you like it so far?,i like it so far. my classes are pretty good right now.
16,i wish you luck.,i know. i think it may rain.
17,"it's the middle of summer, it shouldn't rain today.",that would be weird.
18,"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside."
19,"yes, it would be. ",i really wish it wasn't so hot every day. 
20,me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold."
21,i'd rather be cold than hot.,me too.
22,you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining."
23,that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird."
24,"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right."
25,i wish it would cool off one day.,"that's how i feel, i want winter to come soon."
26,"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot."
27,that's exactly how i feel.,that is true. i hope it doesn't rain.
28,it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.
29,it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.
30,"that's right, it really would be.",i want it to cool down some.
31,"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.
32,i would rather deal with the winter than the summer.,"yes, it is."
33,it looks like it may rain soon.,"yes, and i hope that it does."
34,why is that?,i really love how rain clears the air.
35,me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains."
36,really? why is it?,because you can see the stars perfectly.
